car,task,submit_time,deadline_time,response_time,processing_time,service_response_time,uplink_time,downlink_time,sinr_ul,sinr_dl,cqi_ul,cqi_dl,distance,request_queue_size,harq_error_rate_ul,harq_tx_attempts_ul,rlc_packet_loss_ul,rlc_throughput_ul,task_success
3,15,60.167,60.517,0.198,0.00029362494,0.005757436802,0.1870031122,0.004945826058,21.088969336061,34.399695934003,11.0,14.0,413.39869247363,,0.0,1.0,0.0,16189.640268635,1.0
3,16,63.409,63.759,0.242,0.00031691757,0.009567207035,0.2280031122,0.004112763195,10.011121039143,35.695277435273,8.0,14.0,382.67239438196,,0.0,1.0,0.0,16322.627967505,1.0
3,17,66.621,66.97099999999999,0.212,0.000339955915,0.004773695646,0.20200311225,0.004883236189,23.446725990053,30.855394816718,11.0,14.0,356.10017293821,,0.0,2.0,0.0,16448.364384261,1.0
3,18,69.743,70.09299999999999,0.122,0.00034889344,0.000114865319,0.1170031123,0.004533128941,26.346542321712,35.139694773993,13.0,15.0,334.13604952286,,0.0,1.0,0.0,16583.655969486,1.0
3,19,72.926,73.276,0.183,0.000345042005,0.002164640415,0.1760031123,0.00448720528,20.067421768101,43.886959760583,11.0,15.0,320.51178167621,,0.0,1.0,0.0,16694.962904044,1.0
3,20,76.054,76.404,0.128,0.0004107283875,0.000586844504,0.12200311235,0.004999314758,20.33362990609,44.718905884255,11.0,15.0,317.51796497347,,0.0,1.0,0.0,16808.449926362,1.0
3,21,79.219,79.56899999999999,0.165,0.00040364192,0.000555995958,0.1600031124,0.004037249722,29.008226568075,41.714101763483,14.0,15.0,320.65866625593,,0.0,1.0,0.0,16905.067286086,1.0
3,22,82.412,82.762,0.193,0.00042078296,0.011168671941,0.1770031124,0.004407432699,20.215671330025,43.972292610828,10.0,15.0,329.947208366,,0.0,1.0,0.0,16990.958298947,1.0
3,23,85.583,85.93299999999999,0.171,0.00043444112,0.005697633999,0.16000311245,0.004864812431,23.255546054784,48.452398162423,12.0,15.0,344.89604382047,,0.0,1.0,0.0,17071.658953863,1.0
3,24,88.845,89.195,0.262,0.00044649412,0.000631456935,0.25600311245,0.004918936495,19.870413032855,45.303031133729,11.0,15.0,366.94644317822,,0.0,1.0,0.0,17129.019912426,1.0
